"Date","Discharge"
2022-03-01,4765
2022-03-02,5031
2022-03-03,4125
2022-03-04,3298
2022-03-05,2842
2022-03-06,2924
2022-03-07,3202
2022-03-08,5084
2022-03-09,7646
2022-03-10,5673
2022-03-11,5049
2022-03-12,4649
2022-03-13,6177
2022-03-14,4386
2022-03-15,4248
2022-03-16,5767
2022-03-17,6302
2022-03-18,5838
2022-03-19,5306
2022-03-20,4461
2022-03-21,5009
2022-03-22,4678
2022-03-23,6560
2022-03-24,6793
2022-03-25,4873
2022-03-26,2536
2022-03-27,5176
2022-03-28,7110
2022-03-29,7105
2022-03-30,5079
2022-03-31,5753
2022-04-01,4980
2022-04-02,3861
2022-04-03,4276
2022-04-04,4022
2022-04-05,5952
2022-04-06,7015
2022-04-07,5638
2022-04-08,4338
2022-04-09,4149
2022-04-10,3905
2022-04-11,4251
2022-04-12,3903
2022-04-13,4670
2022-04-14,4290
2022-04-15,4136
2022-04-16,4688
2022-04-17,3514
2022-04-18,2443
2022-04-19,4323
2022-04-20,3296
2022-04-21,2941
2022-04-22,1835
2022-04-23,2174
2022-04-24,2194
2022-04-25,2492
2022-04-26,3614
2022-04-27,2865
2022-04-28,2235
2022-04-29,2313
2022-04-30,2437
2022-05-01,2103
2022-05-02,1713
2022-05-03,2922
2022-05-04,4510
2022-05-05,4313
2022-05-06,1904
2022-05-07,1982
2022-05-08,1718
2022-05-09,1835
2022-05-10,2131
2022-05-11,2352
2022-05-12,2374
2022-05-13,2440
2022-05-14,2390
2022-05-15,1728
2022-05-16,1812
2022-05-17,2040
2022-05-18,2469
2022-05-19,2417
2022-05-20,2766
2022-05-21,2808
2022-05-22,1295
2022-05-23,2440
2022-05-24,2299
2022-05-25,1518
2022-05-26,2300
2022-05-27,3070
2022-05-28,3003
2022-05-29,2705
2022-05-30,2780
2022-05-31,2860
2022-06-01,3824
2022-06-02,4101
2022-06-03,3782
2022-06-04,3148
2022-06-05,2191
2022-06-06,2241
2022-06-07,3344
2022-06-08,4304
2022-06-09,3442
2022-06-10,1463
2022-06-11,1166
2022-06-12,1214
2022-06-13,1311
2022-06-14,1883
2022-06-15,2290
2022-06-16,1671
2022-06-17,1942
2022-06-18,1805
2022-06-19,1265
2022-06-20,1261
2022-06-21,1500
2022-06-22,1800
2022-06-23,1553
2022-06-24,1963
2022-06-25,1638
2022-06-26,1018
2022-06-27,1191
2022-06-28,2197
2022-06-29,2531
2022-06-30,3134
2022-07-01,2915
2022-07-02,2540
2022-07-03,1822
2022-07-04,1511
2022-07-05,2942
2022-07-06,2644
2022-07-07,2680
2022-07-08,3612
2022-07-09,3899
2022-07-10,4244
2022-07-11,2524
2022-07-12,2672
2022-07-13,2217
2022-07-14,2479
2022-07-15,2442
2022-07-16,2022
2022-07-17,2080
2022-07-18,1912
2022-07-19,3819
2022-07-20,2472
2022-07-21,4042
2022-07-22,4362
2022-07-23,2839
2022-07-24,1659
2022-07-25,1695
2022-07-26,2806
2022-07-27,2128
2022-07-28,2460
2022-07-29,2804
2022-07-30,4446
2022-07-31,2413
2022-08-01,1881
2022-08-02,1540
2022-08-03,1109
2022-08-04,1659
2022-08-05,1669
2022-08-06,2199
2022-08-07,1825
2022-08-08,1597
2022-08-09,1890
2022-08-10,1724
2022-08-11,1958
2022-08-12,1406
2022-08-13,1455
2022-08-14,1265
2022-08-15,1631
2022-08-16,1816
2022-08-17,1435
2022-08-18,1218
2022-08-19,1237
2022-08-20,1107
