date,domestic
2019-05-01,13025
2019-05-02,16609
2019-05-03,16465
2019-05-04,15184
2019-05-05,17643
2019-05-06,18914
2019-05-07,19096
2019-05-08,19087
2019-05-09,18211
2019-05-10,19643
2019-05-11,16441
2019-05-12,19272
2019-05-13,16577
2019-05-14,15792
2019-05-15,19556
2019-05-16,17163
2019-05-17,20718
2019-05-18,17513
2019-05-19,19783
2019-05-20,19006
2019-05-21,17702
2019-05-22,20182
2019-05-23,20957
2019-05-24,19977
2019-05-25,19223
2019-05-26,19488
2019-05-27,16966
2019-05-28,18522
2019-05-29,17317
2019-05-30,17791
2019-05-31,17850
2019-06-01,18100
2019-06-02,19410
2019-06-03,17306
2019-06-04,20083
2019-06-05,17448
2019-06-06,16191
2019-06-07,20092
2019-06-08,16684
2019-06-09,15073
2019-06-10,14398
2019-06-11,13880
2019-06-12,15346
2019-06-13,13965
2019-06-14,16680
2019-06-15,16367
2019-06-16,18938
2019-06-17,16151
2019-06-18,18335
2019-06-19,16546
2019-06-20,15797
2019-06-21,20787
2019-06-22,16751
2019-06-23,15111
2019-06-24,14541
2019-06-25,17098
2019-06-26,13565
2019-06-27,15247
2019-06-28,15626
2019-06-29,18957
2019-06-30,16895
2019-07-01,16191
2019-07-02,17243
2019-07-03,16506
2019-07-04,17141
2019-07-05,18889
2019-07-06,15217
2019-07-07,16133
2019-07-08,12989
2019-07-09,14445
2019-07-10,16003
2019-07-11,16100
2019-07-12,17761
2019-07-13,15206
2019-07-14,18722
2019-07-15,16249
2019-07-16,19683
2019-07-17,16464
2019-07-18,17407
2019-07-19,16852
2019-07-20,20345
2019-07-21,16637
2019-07-22,15324
2019-07-23,20814
2019-07-24,17318
2019-07-25,20474
2019-07-26,18792
2019-07-27,18236
2019-07-28,15867
2019-07-29,17701
2019-07-30,16410
2019-07-31,19991
2019-08-01,19147
2019-08-02,21808
2019-08-03,18775
2019-08-04,18115
2019-08-05,19441
2019-08-06,22467
2019-08-07,18239
2019-08-08,18591
2019-08-09,20189
2019-08-10,20523
2019-08-11,20921
2019-08-12,16650
2019-08-13,18622
2019-08-14,20314
2019-08-15,19740
2019-08-16,23211
2019-08-17,21974
2019-08-18,18173
2019-08-19,20797
2019-08-20,20979
2019-08-21,22065
2019-08-22,16881
2019-08-23,17507
2019-08-24,21132
2019-08-25,17828
2019-08-26,21238
2019-08-27,18303
2019-08-28,22810
2019-08-29,23556
2019-08-30,23473
2019-08-31,22245
2019-09-01,21371
2019-09-02,18080
2019-09-03,20338
2019-09-04,18272
2019-09-05,19314
2019-09-06,22232
2019-09-07,20103
2019-09-08,21124
2019-09-09,18220
2019-09-10,21410
2019-09-11,13420
2019-09-12,18446
2019-09-13,18965
2019-09-14,21189
2019-09-15,16091
2019-09-16,19808
2019-09-17,17606
2019-09-18,20041
2019-09-19,21894
2019-09-20,23484
2019-09-21,19658
2019-09-22,21807
2019-09-23,19743
2019-09-24,17991
2019-09-25,19970
2019-09-26,24513
2019-09-27,22154
2019-09-28,19273
2019-09-29,18524
2019-09-30,19591
2019-10-01,21445
2019-10-02,21139
2019-10-03,19237
2019-10-04,20528
2019-10-05,26673
2019-10-06,22352
2019-10-07,15516
2019-10-08,19237
2019-10-09,19531
2019-10-10,15677
2019-10-11,19379
2019-10-12,22092
2019-10-13,22392
2019-10-14,18471
2019-10-15,20521
2019-10-16,17373
2019-10-17,20296
2019-10-18,21482
2019-10-19,18286
2019-10-20,21791
2019-10-21,21381
2019-10-22,17891
2019-10-23,16135
2019-10-24,14886
2019-10-25,17590
2019-10-26,15523
2019-10-27,17750
2019-10-28,12131
2019-10-29,14275
2019-10-30,12922
2019-10-31,14711
2019-11-01,15013
2019-11-02,14803
2019-11-03,18006
2019-11-04,14381
2019-11-05,16083
2019-11-06,17044
2019-11-07,13398
2019-11-08,18400
2019-11-09,13845
2019-11-10,17167
2019-11-11,13035
2019-11-12,14660
2019-11-13,18159
2019-11-14,17368
2019-11-15,18133
2019-11-16,17547
2019-11-17,13430
2019-11-18,12189
2019-11-19,13541
2019-11-20,14195
2019-11-21,22713
2019-11-22,18088
2019-11-23,18726
2019-11-24,16564
2019-11-25,11768
2019-11-26,13807
2019-11-27,14477
2019-11-28,18272
2019-11-29,18244
2019-11-30,18614
2019-12-01,16598
2019-12-02,13809
2019-12-03,18641
2019-12-04,20560
2019-12-05,20363
2019-12-06,20284
2019-12-07,20326
2019-12-08,19092
