week,domestic
2019-05-05,78926
2019-05-12,130664
2019-05-19,127102
2019-05-26,136535
2019-06-02,125956
2019-06-09,122877
2019-06-16,109574
2019-06-23,119478
2019-06-30,111929
2019-07-07,117320
2019-07-14,111226
2019-07-21,123637
2019-07-28,126825
2019-08-04,131947
2019-08-11,140371
2019-08-18,138684
2019-08-25,137189
2019-09-01,152996
2019-09-08,139463
2019-09-15,127741
2019-09-22,144298
2019-09-29,142168
2019-10-06,150965
2019-10-13,133824
2019-10-20,138220
2019-10-27,121156
2019-11-03,101861
2019-11-10,110318
2019-11-17,112332
2019-11-24,116016
2019-12-01,111780
2019-12-08,133075
2019-12-15,131685
2019-12-22,124611
2019-12-29,116327
2020-01-05,116651
2020-01-12,117677
2020-01-19,122511
2020-01-26,120786
2020-02-02,107952
2020-02-09,108308
2020-02-16,129366
2020-02-23,148876
2020-03-01,138769
2020-03-08,137567
2020-03-15,121707
2020-03-22,121579
2020-03-29,108082
2020-04-05,116467
2020-04-12,123056
2020-04-19,130210
2020-04-26,123860
2020-05-03,121315
2020-05-10,138214
2020-05-17,133960
2020-05-24,140822
2020-05-31,131697
2020-06-07,130902
2020-06-14,129379
2020-06-21,124080
2020-06-28,114811
2020-07-05,120271
2020-07-12,123526
2020-07-19,133372
2020-07-26,129458
2020-08-02,124494
2020-08-09,139981
2020-08-16,147370
2020-08-23,155598
2020-08-30,153910
2020-09-06,144959
2020-09-13,151462
2020-09-20,149015
2020-09-27,145884
2020-10-04,158907
2020-10-11,133291
2020-10-18,137072
2020-10-25,127227
2020-11-01,108996
2020-11-08,106490
2020-11-15,111044
2020-11-22,108702
2020-11-29,112291
2020-12-06,112289
2020-12-13,115867
2020-12-20,116005
2020-12-27,115995
2021-01-03,110761
2021-01-10,112787
2021-01-17,97120
2021-01-24,119510
2021-01-31,114430
2021-02-07,102783
2021-02-14,122884
2021-02-21,143563
2021-02-28,148689
2021-03-07,141359
2021-03-14,115751
2021-03-21,108832
2021-03-28,112691
2021-04-04,104336
2021-04-11,124379
2021-04-18,129990
2021-04-25,125736
2021-05-02,122340
2021-05-09,125844
2021-05-16,126921
2021-05-23,134016
2021-05-30,119751
2021-06-06,122305
2021-06-13,125026
2021-06-20,125343
2021-06-27,113864
2021-07-04,121301
2021-07-11,113528
2021-07-18,132971
2021-07-25,135581
2021-08-01,126728
2021-08-08,129597
2021-08-15,151122
2021-08-22,148770
2021-08-29,150053
2021-09-05,147971
2021-09-12,153097
2021-09-19,148970
2021-09-26,157223
2021-10-03,151371
2021-10-10,131432
2021-10-17,153385
2021-10-24,125002
2021-10-31,109219
2021-11-07,105647
2021-11-14,109240
2021-11-21,115388
2021-11-28,110387
2021-12-05,129895
2021-12-12,128429
2021-12-19,125037
2021-12-26,119701
2022-01-02,118660
2022-01-09,120819
2022-01-16,111338
2022-01-23,128314
2022-01-30,116376
2022-02-06,116368
2022-02-13,129335
2022-02-20,157434
2022-02-27,161559
2022-03-06,160619
2022-03-13,136744
2022-03-20,121690
2022-03-27,106126
2022-04-03,110743
2022-04-10,122697
2022-04-17,146149
2022-04-24,129692
2022-05-01,129094
2022-05-08,134603
2022-05-15,136865
2022-05-22,142850
2022-05-29,154213
2022-06-05,150557
2022-06-12,121937
2022-06-19,118681
2022-06-26,128357
2022-07-03,114199
2022-07-10,121751
2022-07-17,139638
2022-07-24,140537
2022-07-31,140995
2022-08-07,158320
2022-08-14,161506
2022-08-21,160197
2022-08-28,161455
2022-09-04,152144
2022-09-11,157494
2022-09-18,148760
2022-09-25,164634
2022-10-02,175779
2022-10-09,151847
2022-10-16,152163
2022-10-23,130785
2022-10-30,107036
2022-11-06,120364
2022-11-13,123227
2022-11-20,112957
2022-11-27,120157
2022-12-04,123590
2022-12-11,140194
2022-12-18,125155
2022-12-25,117996
2023-01-01,119305
2023-01-08,128669
2023-01-15,112168
2023-01-22,132841
2023-01-29,127117
2023-02-05,115539
2023-02-12,118048
2023-02-19,167939
2023-02-26,177524
